('npm:@types/glob', '7.1.1')
('npm:events', '3.1.0')
('npm:pinkie', '2.0.4')
('npm:babel-plugin-dynamic-import-node', '2.3.3')
('npm:dns-packet', '1.3.4')
('npm:tiny-warning', '1.0.3')
('npm:ansi-colors', '3.2.4')
('npm:@babel/plugin-transform-classes', '7.9.5')
('npm:mixin-deep', '1.3.2')
('npm:npm-run-path', '2.0.2')
('npm:postcss-value-parser', '4.1.0')
('npm:balanced-match', '1.0.0')
('npm:shebang-command', '1.2.0')
('npm:hash-base', '3.0.4')
('npm:ieee754', '1.1.13')
('npm:postcss-load-config', '2.1.0')
('npm:url', '0.11.0')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:terser', '4.6.13')
('npm:figgy-pudding', '3.5.2')
('npm:uri-js', '4.4.1')
('npm:string_decoder', '1.3.0')
('npm:randombytes', '2.1.0')
('npm:anymatch', '2.0.0')
('npm:cookie', '0.4.0')
('npm:bytes', '3.0.0')
('npm:react-router-dom', '^ 4.2.2')
('npm:escape-html', '1.0.3')
('npm:@babel/plugin-transform-async-to-generator', '7.8.3')
('npm:path-to-regexp', '1.8.0')
('npm:@webassemblyjs/leb128', '1.9.0')
('npm:chrome-trace-event', '1.0.2')
('npm:is-accessor-descriptor', '0.1.6')
('npm:json-schema-traverse', '0.4.1')
('npm:postcss-media-query-parser', '0.2.3')
('npm:pinkie-promise', '2.0.1')
('npm:bonjour', '3.5.0')
('npm:encodeurl', '1.0.2')
('npm:browserify-des', '1.0.2')
('npm:strip-ansi', '5.2.0')
('npm:ini', '1.3.7')
('npm:babel-runtime', '6.26.0')
('npm:to-arraybuffer', '1.0.1')
('npm:make-dir', '2.1.0')
('npm:isarray', '0.0.1')
('npm:mem', '4.3.0')
('npm:@babel/plugin-transform-literals', '7.8.3')
('npm:stream-http', '2.8.3')
('npm:is-extendable', '0.1.1')
('npm:@babel/plugin-transform-block-scoping', '7.8.3')
('npm:@babel/helper-remap-async-to-generator', '7.8.3')
('npm:url-loader', '4.1.0')
('npm:extend-shallow', '3.0.2')
('go:google.golang.org/api', '0.22.0')
('npm:async-limiter', '1.0.1')
