('npm:pinkie', '2.0.4')
('npm:@types/bull', '3.0.2')
('npm:web3-bzz', '1.0.0-beta.34')
('npm:babel-plugin-transform-es2015-literals', '6.22.0')
('npm:babel-plugin-transform-strict-mode', '6.24.1')
('npm:write-file-atomic', '2.3.0')
('npm:npm-run-path', '2.0.2')
('npm:basic-authentication', '1.7.0')
('npm:is-hex-prefixed', '1.0.0')
('npm:balanced-match', '1.0.0')
('npm:shebang-command', '1.2.0')
('npm:hash-base', '3.0.4')
('npm:babel-plugin-transform-es2015-block-scoped-functions', '6.22.0')
('npm:url', '0.11.0')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:repeat-element', '1.1.2')
('npm:babylon', '6.18.0')
('npm:is-utf8', '0.2.1')
('npm:events', '1.1.1')
('npm:pkg-dir', '1.0.0')
('npm:asn1', '0.2.3')
('npm:tar-pack', '3.4.1')
('npm:anymatch', '2.0.0')
('npm:bytes', '3.0.0')
('npm:semver', '5.0.3')
('npm:keccakjs', '0.2.1')
('npm:babel-plugin-transform-es2015-modules-umd', '6.24.1')
('npm:drbg.js', '1.0.1')
('npm:escape-html', '1.0.3')
('npm:raw-body', '2.1.7')
('npm:hdkey', '0.7.1')
('npm:through', '2.3.8')
('npm:istanbul-reports', '1.3.0')
('npm:with-callback', '1.0.2')
('npm:nano-json-stream-parser', '0.1.2')
('npm:ieee754', '1.1.11')
('npm:lodash._basecreate', '3.0.3')
('npm:web3-eth-personal', '1.0.0-beta.34')
('npm:read-pkg', '2.0.0')
('npm:socks-proxy-agent', '3.0.1')
('npm:microtime-nodejs', '1.0.0')
('npm:dotenv', '4.0.0')
('npm:is-function', '1.0.1')
('npm:pinkie-promise', '2.0.1')
('npm:elliptic', '6.4.0')
('npm:require_optional', '1.0.1')
('npm:encodeurl', '1.0.2')
('npm:lodash.foreach', '4.5.0')
('npm:lru-cache', '2.6.5')
('com.github.secret-tech/backend-ico-dashboard', '')
('npm:trim-right', '1.0.1')
('npm:amdefine', '1.0.1')
('npm:babel-runtime', '6.26.0')
('npm:form-data', '2.2.0')
('npm:path-browserify', '0.0.0')
('npm:lodash.defaults', '4.2.0')
('npm:@types/node', '9.6.5')
('npm:to-arraybuffer', '1.0.1')
('npm:ioredis', '3.2.2')
('npm:nyc', '10.0.0')
('npm:is-ci', '1.1.0')
('npm:cli-highlight', '1.2.3')
('npm:latest-version', '3.1.0')
('npm:hash.js', '1.1.3')
('npm:extend-shallow', '3.0.2')
('npm:regjsgen', '0.2.0')
('npm:hosted-git-info', '2.6.0')
('npm:netmask', '1.0.6')
('npm:spdx-expression-parse', '3.0.0')
('npm:lodash.shuffle', '4.2.0')
('npm:websocket', '1.0.24')
('npm:class-utils', '0.3.6')
('npm:strip-json-comments', '2.0.1')
('npm:lodash.isempty', '4.4.0')
('npm:superagent', '3.8.2')
('npm:to-regex', '3.0.2')
('npm:json-bigint', '0.2.3')
('npm:har-schema', '2.0.0')
('npm:buffer-to-arraybuffer', '0.0.5')
('npm:file-uri-to-path', '1.0.0')
('npm:arr-flatten', '1.1.0')
('npm:flexbuffer', '0.0.6')
('npm:setprototypeof', '1.1.0')
('npm:define-property', '2.0.2')
('npm:map-stream', '0.1.0')
('npm:timed-out', '4.0.1')
('npm:colors', '1.2.1')
('npm:evp_bytestokey', '1.0.3')
('npm:extend', '3.0.1')
('npm:topo', '3.0.0')
