('npm:jsx-ast-utils', '3.3.5')
('rubygems:jekyll-include-cache', '0.2.1')
('npm:yargs-parser', '20.2.9')
('npm:wrappy', '1.0.2')
('npm:uri-js', '4.4.1')
('npm:doctrine', '2.1.0')
('npm:reflect.getprototypeof', '1.0.4')
('npm:@types/minimist', '1.2.3')
('npm:bytes', '3.1.2')
('npm:levn', '0.4.1')
('npm:eslint-visitor-keys', '1.3.0')
('npm:typed-array-byte-offset', '1.0.0')
('npm:escape-html', '1.0.3')
('rubygems:typhoeus', '1.4.0')
('npm:json-schema-traverse', '0.4.1')
('npm:asynciterator.prototype', '1.0.0')
('npm:is-plain-object', '5.0.0')
('npm:encodeurl', '1.0.2')
('rubygems:faraday', '2.7.11')
('npm:json-parse-even-better-errors', '2.3.1')
('npm:rimraf', '3.0.2')
('npm:spdx-license-ids', '3.0.16')
('npm:is-shared-array-buffer', '1.0.2')
('npm:postcss', '8.4.31')
('npm:depd', '2.0.0')
('npm:acorn', '7.4.1')
('npm:p-limit', '3.1.0')
('npm:has-bigints', '1.0.2')
('rubygems:base64', '0.1.1')
('npm:is-generator-function', '1.0.10')
('npm:is-finalizationregistry', '1.0.2')
('npm:@nodelib/fs.stat', '2.0.5')
('rubygems:jemoji', '0.12.0')
('npm:object.fromentries', '2.0.7')
('npm:parse-json', '5.2.0')
('npm:object.values', '1.1.7')
('npm:rollup', '3.28.0')
('npm:color-name', '1.1.4')
('npm:fastq', '1.15.0')
('npm:resolve-from', '5.0.0')
('npm:which', '1.3.1')
('npm:decamelize-keys', '1.1.1')
('npm:minimatch', '3.1.2')
('npm:utils-merge', '1.0.1')
('npm:ms', '2.0.0')
('npm:import-fresh', '3.3.0')
('npm:globalthis', '1.0.3')
('npm:postcss-resolve-nested-selector', '0.1.1')
('rubygems:jekyll-relative-links', '0.6.1')
('rubygems:faraday-net_http', '3.0.2')
('npm:confusing-browser-globals', '1.0.11')
('npm:iconv-lite', '0.4.24')
('rubygems:faraday-retry', '2.2.0')
('npm:parent-module', '1.0.1')
('npm:range-parser', '1.2.1')
('npm:is-weakref', '1.0.2')
('npm:espree', '7.3.1')
('npm:normalize-path', '3.0.0')
('npm:path-parse', '1.0.7')
('npm:typed-array-byte-length', '1.0.0')
('npm:eslint-plugin-import', '2.28.1')
('npm:eslint-config-airbnb', '18.2.1')
('npm:arrify', '1.0.1')
('npm:mime-types', '2.1.35')
('npm:fast-json-stable-stringify', '2.1.0')
('npm:available-typed-arrays', '1.0.5')
('npm:once', '1.4.0')
('rubygems:jekyll-remote-theme', '0.4.3')
('npm:natural-compare', '1.4.0')
('npm:sprintf-js', '1.0.3')
('rubygems:ffi', '1.16.3')
('npm:accepts', '1.3.8')
('rubygems:jekyll-theme-dinky', '0.2.0')
('npm:isarray', '2.0.5')
('rubygems:jekyll-feed', '0.15.1')
('npm:language-tags', '1.0.5')
('npm:string.prototype.matchall', '4.0.10')
('npm:chalk', '2.4.2')
('npm:is-regex', '1.1.4')
('npm:eslint-visitor-keys', '2.1.0')
('rubygems:jekyll-seo-tag', '2.8.0')
('npm:is-number-object', '1.0.7')
('npm:stylelint-order', '6.0.3')
('npm:concat-map', '0.0.1')
('npm:ajv', '6.12.6')
('npm:resolve', '1.22.6')
('rubygems:jekyll-mentions', '1.6.0')
('npm:function.prototype.name', '1.1.6')
('npm:is-typed-array', '1.1.12')
('npm:get-intrinsic', '1.2.1')
('npm:debug', '4.3.4')
('npm:string.prototype.trimstart', '1.0.7')
('rubygems:nokogiri', '1.15.4')
('npm:side-channel', '1.0.4')
('npm:lru-cache', '6.0.0')
('rubygems:jekyll-titles-from-headings', '0.5.3')
('npm:mime', '1.6.0')
('npm:cssesc', '3.0.0')
('npm:is-plain-obj', '1.1.0')
