('npm:@types/retry', '0.12.0')
('npm:selfsigned', '2.1.1')
('npm:gettext-parser', '4.2.0')
('npm:postcss', '8.4.19')
('npm:mute-stream', '0.0.8')
('npm:css-loader', '6.7.3')
('npm:yargs-parser', '20.2.9')
('npm:run-async', '2.4.1')
('npm:zone.js', '0.12.0')
('npm:is-lambda', '1.0.1')
('npm:@material/theme', '15.0.0-canary.7971d6ad5.0')
('npm:wrappy', '1.0.2')
('npm:@istanbuljs/schema', '0.1.3')
('npm:typed-assert', '1.0.9')
('npm:ini', '3.0.1')
('npm:@jridgewell/gen-mapping', '0.3.2')
('npm:@babel/plugin-transform-function-name', '7.18.9')
('npm:update-browserslist-db', '1.0.10')
('npm:uri-js', '4.4.1')
('npm:sass', '1.56.1')
('npm:string_decoder', '1.3.0')
('npm:@babel/plugin-proposal-optional-catch-binding', '7.18.6')
('npm:esquery', '1.4.0')
('npm:randombytes', '2.1.0')
('npm:@babel/helper-define-polyfill-provider', '0.3.3')
('npm:bytes', '3.1.2')
('npm:which-typed-array', '1.1.9')
('npm:@webassemblyjs/wasm-gen', '1.11.1')
('npm:nopt', '6.0.0')
('npm:bytes', '3.0.0')
('npm:@types/node', '18.11.17')
('npm:@angular/platform-browser-dynamic', '15.0.4')
('npm:klona', '2.0.5')
('npm:postcss-modules-values', '4.0.0')
('npm:@material/data-table', '15.0.0-canary.7971d6ad5.0')
('npm:@babel/plugin-proposal-class-static-block', '7.18.6')
('npm:pretty-bytes', '5.6.0')
('npm:escape-html', '1.0.3')
('npm:@angular-devkit/build-webpack', '0.1500.4')
('npm:@babel/traverse', '7.20.5')
('npm:through', '2.3.8')
('npm:json-schema-traverse', '0.4.1')
('npm:@types/http-proxy', '1.17.9')
('npm:@auth0/angular-jwt', '5.1.1')
('npm:minipass-pipeline', '1.2.4')
('npm:@babel/helper-explode-assignable-expression', '7.18.6')
('npm:parse5-sax-parser', '6.0.1')
('npm:@angular/router', '15.0.4')
('npm:babel-plugin-istanbul', '6.1.1')
('npm:encodeurl', '1.0.2')
('npm:proc-log', '2.0.1')
('npm:@types/ws', '8.5.3')
('npm:gzipper', '7.2.0')
('npm:@babel/preset-env', '7.20.2')
('npm:json-parse-even-better-errors', '2.3.1')
('npm:cli-width', '3.0.0')
('npm:rimraf', '3.0.2')
('npm:hdr-histogram-js', '2.0.3')
('npm:json5', '2.2.2')
('npm:make-dir', '2.1.0')
('npm:chrome-trace-event', '1.0.3')
('npm:@babel/plugin-transform-modules-commonjs', '7.19.6')
('npm:@webassemblyjs/ieee754', '1.11.1')
('npm:regjsgen', '0.7.1')
('npm:tree-kill', '1.2.2')
('npm:open', '8.4.0')
('npm:depd', '2.0.0')
('npm:@angular-devkit/build-angular', '15.0.4')
('npm:thunky', '1.1.0')
('npm:@types/express', '4.17.15')
('npm:select-hose', '2.0.0')
('npm:@babel/plugin-proposal-dynamic-import', '7.18.6')
('npm:@babel/helper-module-transforms', '7.20.2')
('npm:terminal-link', '2.1.1')
('npm:@babel/plugin-syntax-export-namespace-from', '7.8.3')
('npm:has-bigints', '1.0.2')
('npm:@nodelib/fs.stat', '2.0.5')
('npm:type-fest', '0.21.3')
('npm:setprototypeof', '1.1.0')
('npm:parse-json', '5.2.0')
('npm:@babel/helper-replace-supers', '7.19.1')
('npm:@babel/plugin-transform-destructuring', '7.20.2')
('npm:color-name', '1.1.4')
('npm:@babel/helper-simple-access', '7.20.2')
('npm:@discoveryjs/json-ext', '0.5.7')
('npm:babel-plugin-polyfill-corejs2', '0.3.3')
('npm:eventemitter-asyncresource', '1.0.0')
('npm:pacote', '15.0.6')
('npm:resolve-from', '5.0.0')
('npm:semver', '6.3.0')
('npm:entities', '2.2.0')
('npm:@types/body-parser', '1.19.2')
('npm:cacache', '16.1.3')
('npm:minimatch', '3.1.2')
('npm:utils-merge', '1.0.1')
('npm:ms', '2.0.0')
('npm:esbuild-android-64', '0.15.13')
('npm:clone', '1.0.4')
('npm:braces', '3.0.3')
('npm:http-proxy-middleware', '2.0.6')
('actions:actions/cache', '3.*.*')
('npm:domutils', '2.8.0')
('npm:get-stream', '6.0.1')
('npm:regenerator-transform', '0.15.1')
('npm:import-fresh', '3.3.0')
('npm:@babel/plugin-proposal-export-namespace-from', '7.18.9')
('npm:@babel/plugin-syntax-import-assertions', '7.20.0')
('npm:normalize-package-data', '5.0.0')
('npm:neo-async', '2.6.2')
('npm:source-map-loader', '4.0.1')
('npm:@material/layout-grid', '15.0.0-canary.7971d6ad5.0')
('npm:process-streams', '1.0.1')
('npm:@babel/helper-hoist-variables', '7.18.6')
('npm:electron-to-chromium', '1.4.279')
('npm:iconv-lite', '0.4.24')
('npm:loader-runner', '4.3.0')
('npm:node-gyp', '9.3.1')
('npm:browserslist', '4.21.4')
('npm:parent-module', '1.0.1')
('npm:commander', '2.20.3')
('npm:range-parser', '1.2.1')
('npm:@babel/helper-compilation-targets', '7.20.0')
('npm:jest-worker', '27.5.1')
('npm:deepmerge', '4.2.2')
