('npm:postgres-date', '1.0.7')
('npm:vary', '1.1.2')
('npm:debug', '2.6.9')
('npm:follow-redirects', '1.15.6')
('npm:safer-buffer', '2.1.2')
('npm:uid-safe', '2.1.5')
('npm:has-symbols', '1.0.3')
('npm:passport-google-oauth20', '2.0.0')
('npm:regenerator-runtime', '0.14.1')
('npm:is-fullwidth-code-point', '3.0.0')
('npm:unpipe', '1.0.0')
('npm:wrappy', '1.0.2')
('npm:readable-stream', '3.6.2')
('npm:node-fetch', '2.7.0')
('npm:gopd', '1.0.1')
('npm:string_decoder', '1.3.0')
('npm:on-finished', '2.4.1')
('npm:binary-extensions', '2.2.0')
('npm:bytes', '3.1.2')
('npm:has-unicode', '2.0.1')
('npm:nopt', '5.0.0')
('npm:cookie', '0.4.0')
('npm:bytes', '3.0.0')
('npm:has-flag', '3.0.0')
('npm:nodemon', '3.1.2')
('npm:bcrypt', '5.1.1')
('npm:make-dir', '3.1.0')
('npm:escalade', '3.1.1')
('npm:forwarded', '0.2.0')
('npm:escape-html', '1.0.3')
('npm:ignore-by-default', '1.0.1')
('npm:ms', '2.1.3')
('npm:through', '2.3.8')
('npm:toidentifier', '1.0.0')
('npm:is-glob', '4.0.1')
('npm:nopt', '1.0.10')
('npm:datatables.net-bs4', '1.13.1')
('npm:source-map', '0.6.1')
('npm:tarn', '3.0.2')
('npm:toidentifier', '1.0.1')
('npm:util-deprecate', '1.0.2')
('npm:bignumber.js', '9.1.0')
('npm:postgres-bytea', '1.0.0')
('npm:tsscmp', '1.0.6')
('npm:morgan', '1.10.0')
('npm:encodeurl', '1.0.2')
('npm:touch', '3.1.0')
('npm:oauth', '0.9.15')
('npm:lodash', '4.17.21')
('npm:https-proxy-agent', '5.0.1')
('npm:mkdirp', '1.0.4')
('npm:rimraf', '3.0.2')
('npm:content-disposition', '0.5.4')
('npm:brace-expansion', '1.1.11')
('npm:aproba', '2.0.0')
('npm:tildify', '2.0.0')
('npm:@babel/runtime', '7.24.7')
('npm:chart.js', '3.3.2')
('npm:chownr', '2.0.0')
('npm:compression', '1.7.4')
('npm:has', '1.0.3')
('npm:ms', '2.1.2')
('npm:fs.realpath', '1.0.0')
('npm:handlebars', '4.7.7')
('npm:datatables.net', '1.13.1')
('npm:es-define-property', '1.0.0')
('npm:prettier', '2.3.1')
('npm:on-headers', '1.0.2')
('npm:semver', '7.6.2')
('npm:emoji-regex', '8.0.0')
('npm:depd', '2.0.0')
('npm:ansi-regex', '5.0.1')
('npm:split', '1.0.1')
('npm:helmet', '4.6.0')
('npm:pg-connection-string', '2.6.2')
('npm:pg', '8.11.5')
('npm:pg-types', '2.2.0')
('npm:is-core-module', '2.4.0')
