('npm:jest-circus', '29.7.0')
('npm:@jest/test-result', '29.7.0')
('npm:wrappy', '1.0.2')
('npm:@istanbuljs/schema', '0.1.3')
('npm:crypto-js', '4.2.0')
('npm:uri-js', '4.4.1')
('npm:escodegen', '1.14.3')
('npm:@babel/traverse', '7.23.5')
('npm:which-typed-array', '1.1.9')
('npm:bytes', '3.1.2')
('npm:w3c-xmlserializer', '5.0.0')
('npm:@types/istanbul-reports', '3.0.4')
('npm:levn', '0.4.1')
('npm:pretty-bytes', '5.6.0')
('npm:escape-html', '1.0.3')
('npm:scope-analyzer', '2.1.2')
('npm:through', '2.3.8')
('npm:is-potential-custom-element-name', '1.0.1')
('npm:es5-ext', '0.10.64')
('npm:json-schema-traverse', '0.4.1')
('npm:escape-string-regexp', '2.0.0')
('npm:formidable', '3.5.1')
('npm:babel-plugin-istanbul', '6.1.1')
('npm:encodeurl', '1.0.2')
('npm:@jest/environment', '29.7.0')
('npm:json-parse-even-better-errors', '2.3.1')
('npm:amdefine', '1.0.1')
('npm:mri', '1.1.4')
('npm:lodash.defaults', '4.2.0')
('npm:jest-util', '29.7.0')
('npm:brotli', '1.3.3')
('npm:asap', '2.0.6')
('npm:depd', '2.0.0')
('npm:@babel/helper-simple-access', '7.22.5')
('npm:estree-is-function', '1.0.0')
('npm:acorn', '7.4.1')
('npm:dfa', '1.2.0')
('npm:@types/istanbul-lib-report', '3.0.3')
('npm:p-limit', '3.1.0')
('npm:@babel/plugin-syntax-typescript', '7.23.3')
('npm:is-generator-function', '1.0.10')
('npm:ajv', '8.11.2')
('npm:@nodelib/fs.stat', '2.0.5')
('npm:@seald-io/binary-search-tree', '1.0.2')
('npm:@jest/expect-utils', '29.7.0')
('npm:globals', '14.0.0')
('npm:type-fest', '0.21.3')
('npm:@babel/helper-function-name', '7.23.0')
('npm:parse-json', '5.2.0')
('npm:form-data', '4.0.0')
('npm:color-name', '1.1.4')
('npm:leven', '2.1.0')
('npm:ast-transform', '0.0.0')
('npm:@babel/helper-compilation-targets', '7.22.15')
('npm:ecdsa-sig-formatter', '1.0.11')
('npm:resolve-from', '5.0.0')
('npm:moleculer-db-adapter-mongo', '0.4.19')
('npm:yallist', '3.1.1')
('npm:minimatch', '3.1.2')
('npm:ms', '2.0.0')
('npm:moleculer-web', '0.10.7')
('npm:clone', '1.0.4')
('npm:anymatch', '3.1.3')
('npm:get-stream', '6.0.1')
('npm:makeerror', '1.0.12')
('npm:import-fresh', '3.3.0')
('npm:jest-worker', '29.7.0')
('npm:png-js', '1.0.0')
('npm:neo-async', '2.6.2')
('npm:universalify', '2.0.0')
('npm:yargs', '17.7.2')
('npm:function-bind', '1.1.2')
('npm:jest-each', '29.7.0')
('npm:iconv-lite', '0.4.24')
('npm:word-wrap', '1.2.5')
