('npm:domexception', '2.0.1')
('npm:yargs-parser', '20.2.9')
('npm:internal-slot', '1.0.3')
('npm:whatwg-url', '7.1.0')
('npm:wrappy', '1.0.2')
('npm:schema-utils', '2.7.0')
('npm:@istanbuljs/schema', '0.1.3')
('npm:@testing-library/react', '13.3.0')
('npm:tr46', '2.1.0')
('npm:start-server-and-test', '1.14.0')
('npm:check-more-types', '2.24.0')
('npm:babel-jest', '27.5.1')
('npm:is-root', '2.1.0')
('npm:escape-string-regexp', '2.0.0')
('npm:@cypress/xvfb', '1.2.4')
('npm:postcss-discard-empty', '5.1.1')
('npm:react-error-overlay', '6.0.11')
('npm:@types/ws', '8.5.3')
('npm:workbox-routing', '6.5.3')
('npm:@types/node', '14.18.21')
('npm:extend', '3.0.2')
('npm:@babel/plugin-transform-unicode-escapes', '7.16.7')
('npm:@webassemblyjs/ieee754', '1.11.1')
('npm:@babel/plugin-transform-shorthand-properties', '7.16.7')
('npm:ws', '8.8.0')
('npm:depd', '2.0.0')
('npm:postcss-nesting', '10.1.8')
('npm:css-prefers-color-scheme', '6.0.3')
('npm:p-limit', '3.1.0')
('npm:postcss-font-variant', '5.0.0')
('npm:data-urls', '2.0.0')
('npm:jsprim', '2.0.2')
('npm:regenerate-unicode-properties', '10.0.1')
('npm:builtin-modules', '3.3.0')
('npm:resolve-from', '5.0.0')
('npm:semver', '6.3.0')
('npm:split', '0.3.3')
('npm:ms', '2.0.0')
('npm:@typescript-eslint/visitor-keys', '5.29.0')
('npm:for-in', '1.0.2')
('npm:http-proxy-middleware', '2.0.6')
('npm:get-stream', '6.0.1')
('nuget:Microsoft.Extensions.Options.ConfigurationExtensions', '7.0.0')
('npm:universalify', '2.0.0')
('npm:@svgr/babel-plugin-remove-jsx-attribute', '5.4.0')
('npm:cosmiconfig', '7.0.1')
('npm:normalize-range', '0.1.2')
('npm:normalize-path', '3.0.0')
('npm:istanbul-lib-source-maps', '4.0.1')
('npm:tunnel-agent', '0.6.0')
('npm:mime-types', '2.1.35')
('npm:@sinclair/typebox', '0.23.5')
('npm:is-descriptor', '0.1.6')
('npm:workbox-expiration', '5.1.4')
('npm:@babel/preset-env', '7.18.2')
('npm:sprintf-js', '1.0.3')
('npm:accepts', '1.3.8')
('npm:nth-check', '1.0.2')
('npm:postcss-convert-values', '5.1.2')
('npm:stable', '0.1.8')
('npm:dom-serializer', '1.4.1')
('npm:walker', '1.0.8')
('npm:snapdragon-node', '2.1.1')
('npm:html-encoding-sniffer', '2.0.1')
('npm:babel-plugin-polyfill-corejs3', '0.5.2')
('npm:is-generator-fn', '2.1.0')
('npm:babel-plugin-named-asset-import', '0.3.8')
('npm:@types/yauzl', '2.10.0')
('npm:jest-environment-jsdom', '27.5.1')
('npm:cssesc', '3.0.0')
('npm:array-flatten', '1.1.1')
('npm:async', '3.2.4')
('npm:jest', '27.5.1')
('npm:domelementtype', '2.3.0')
('npm:serialize-javascript', '6.0.0')
('npm:@babel/plugin-syntax-import-meta', '7.10.4')
('npm:loader-utils', '2.0.4')
('npm:workbox-expiration', '6.5.3')
('npm:babel-preset-current-node-syntax', '1.0.1')
('npm:debug', '2.6.9')
('npm:jest-environment-node', '27.5.1')
('npm:postcss-flexbugs-fixes', '5.0.2')
('npm:@babel/traverse', '7.18.5')
('npm:@babel/plugin-syntax-dynamic-import', '7.8.3')
('npm:ignore', '5.2.0')
('nuget:Aggregates.NET.Testing', '0.18.7.112')
('npm:jest-runtime', '27.5.1')
('npm:workbox-broadcast-update', '5.1.4')
('npm:@babel/plugin-syntax-class-properties', '7.12.13')
('npm:make-dir', '3.1.0')
('npm:@types/express', '4.17.13')
('npm:@sideway/address', '4.1.4')
('npm:@webassemblyjs/wasm-parser', '1.11.1')
('npm:postcss-normalize-whitespace', '5.1.1')
('npm:postcss-page-break', '3.0.4')
('npm:shebang-command', '2.0.0')
('npm:ecc-jsbn', '0.1.2')
('npm:@types/stack-utils', '2.0.1')
('npm:@svgr/plugin-svgo', '5.5.0')
('npm:hpack.js', '2.1.6')
('com.github.charlessolar/TodoMVC-DDD-CQRS-EventSourcing', '')
('npm:aggregate-error', '3.1.0')
('npm:core-js-pure', '3.23.2')
('npm:http-proxy', '1.18.1')
('npm:todomvc-app-css', '2.4.2')
('npm:human-signals', '2.1.0')
('npm:is-arrayish', '0.2.1')
('npm:workbox-window', '6.5.3')
('npm:string-width', '4.2.3')
('npm:cookie-signature', '1.0.6')
('npm:p-locate', '3.0.0')
('npm:@jridgewell/trace-mapping', '0.3.14')
('npm:picocolors', '1.0.0')
('npm:postcss-initial', '4.0.1')
('npm:bonjour-service', '1.0.13')
('npm:fd-slicer', '1.1.0')
('npm:@babel/helper-validator-identifier', '7.16.7')
('npm:semver', '7.3.7')
('npm:setprototypeof', '1.2.0')
('npm:@babel/code-frame', '7.12.11')
('npm:@babel/plugin-transform-regenerator', '7.18.0')
('npm:aws-sign2', '0.7.0')
('npm:css-what', '3.4.2')
('npm:resolve-url-loader', '4.0.0')
('npm:@babel/plugin-proposal-optional-chaining', '7.17.12')
('npm:get-package-type', '0.1.0')
('npm:acorn-walk', '7.2.0')
('npm:@babel/plugin-transform-unicode-regex', '7.16.7')
('npm:@typescript-eslint/types', '5.29.0')
('npm:postcss-minify-font-values', '5.1.0')
('npm:execa', '5.1.1')
('npm:cli-truncate', '2.1.0')
('npm:detect-port-alt', '1.1.6')
('npm:type-check', '0.4.0')
('npm:find-up', '3.0.0')
('npm:component-emitter', '1.3.0')
('npm:terser', '5.14.2')
('npm:string_decoder', '1.1.1')
('npm:eslint-scope', '7.1.1')
('npm:has-value', '0.3.1')
('npm:is-number', '3.0.0')
('npm:@babel/plugin-syntax-object-rest-spread', '7.8.3')
('npm:cachedir', '2.3.0')
('npm:is-plain-obj', '3.0.0')
('npm:indent-string', '4.0.0')
('npm:regenerator-runtime', '0.13.9')
('npm:cli-cursor', '3.1.0')
('nuget:NServiceBus.Extensions.DependencyInjection', '2.0.0')
('npm:ansi-styles', '3.2.1')
('npm:@babel/highlight', '7.17.12')
('npm:@babel/plugin-transform-block-scoping', '7.18.4')
('npm:use-sync-external-store', '1.2.0')
('npm:@jest/core', '27.5.1')
('npm:common-path-prefix', '3.0.0')
('nuget:Microsoft.Extensions.Logging.Configuration', '7.0.0')
('npm:escodegen', '2.0.0')
('npm:acorn-globals', '6.0.0')
('npm:@babel/plugin-proposal-json-strings', '7.17.12')
('npm:@typescript-eslint/scope-manager', '5.29.0')
('npm:@babel/plugin-transform-named-capturing-groups-regex', '7.17.12')
('npm:raw-body', '2.5.1')
('npm:postcss-color-functional-notation', '4.2.3')
('npm:case-sensitive-paths-webpack-plugin', '2.4.0')
('npm:whatwg-encoding', '1.0.5')
('npm:set-value', '2.0.1')
('npm:eslint-plugin-testing-library', '5.5.1')
('npm:@types/serve-static', '1.13.10')
('npm:clean-css', '5.3.0')
('npm:ansi-html-community', '0.0.8')
('npm:esrecurse', '4.3.0')
('npm:gzip-size', '6.0.0')
('npm:postcss-modules-local-by-default', '4.0.0')
('npm:chalk', '4.1.2')
('npm:has-property-descriptors', '1.0.0')
('npm:convert-source-map', '1.8.0')
('npm:which-boxed-primitive', '1.0.2')
('npm:language-subtag-registry', '0.3.21')
('npm:cliui', '7.0.4')
('npm:is-fullwidth-code-point', '3.0.0')
('npm:@webassemblyjs/wasm-opt', '1.11.1')
('npm:content-type', '1.0.4')
('npm:p-try', '1.0.0')
('npm:source-map-resolve', '0.5.3')
('npm:use', '3.1.1')
('npm:postcss-logical', '5.0.4')
('npm:@babel/plugin-transform-block-scoped-functions', '7.16.7')
('npm:minimatch', '5.1.0')
('nuget:Microsoft.AspNetCore.SpaProxy', '7.0.0')
('npm:v8-to-istanbul', '8.1.1')
('npm:p-retry', '4.6.2')
('npm:content-disposition', '0.5.4')
('npm:micromatch', '4.0.5')
('npm:@trysound/sax', '0.2.0')
('npm:@babel/plugin-syntax-typescript', '7.17.12')
('npm:@babel/plugin-transform-async-to-generator', '7.17.12')
('npm:source-map', '0.5.7')
('npm:at-least-node', '1.0.0')
('npm:workbox-range-requests', '6.5.3')
('npm:fast-glob', '3.2.11')
('npm:lodash.sortby', '4.7.0')
('npm:istanbul-lib-instrument', '5.2.0')
('nuget:coverlet.collector', '3.2.0')
('npm:fsevents', '2.3.2')
('npm:css-tree', '1.0.0-alpha.37')
('npm:readdirp', '3.6.0')
('npm:js-yaml', '4.1.0')
('npm:redux', '4.2.0')
('npm:supports-preserve-symlinks-flag', '1.0.0')
('npm:lilconfig', '2.0.5')
('npm:handle-thing', '2.0.1')
('nuget:Microsoft.Extensions.FileProviders.Physical', '7.0.0')
('npm:supports-hyperlinks', '2.2.0')
('npm:levn', '0.3.0')
('npm:postcss-reduce-initial', '5.1.0')
('npm:array-includes', '3.1.5')
('npm:minimalistic-assert', '1.0.1')
('npm:statuses', '1.5.0')
('npm:commander', '8.3.0')
('npm:unicode-match-property-ecmascript', '2.0.0')
('npm:chokidar', '3.5.3')
('npm:array-union', '2.1.0')
('npm:postcss-focus-visible', '6.0.4')
('npm:@rollup/pluginutils', '3.1.0')
('npm:tapable', '2.2.1')
('npm:@csstools/postcss-oklab-function', '1.1.0')
('npm:@babel/generator', '7.18.2')
('npm:min-indent', '1.0.1')
('npm:@types/express-serve-static-core', '4.17.29')
('npm:@webassemblyjs/helper-api-error', '1.11.1')
('npm:lodash.truncate', '4.4.2')
('npm:@types/yargs-parser', '21.0.0')
('npm:workbox-recipes', '6.5.3')
('npm:qs', '6.5.3')
('npm:@babel/plugin-transform-duplicate-keys', '7.17.12')
('npm:@types/eslint', '8.4.3')
('npm:eslint-utils', '2.1.0')
('npm:@types/qs', '6.9.7')
('npm:supports-color', '5.5.0')
('npm:stream-combiner', '0.0.4')
('npm:camel-case', '4.1.2')
('npm:@babel/helper-plugin-utils', '7.17.12')
('npm:has-flag', '4.0.0')
('npm:colord', '2.9.2')
