('npm:json-stable-stringify', '1.1.1')
('npm:@jest/transform', '26.6.2')
('npm:yargs', '15.4.1')
('npm:inquirer', '8.2.6')
('npm:domexception', '2.0.1')
('npm:yargs-parser', '20.2.9')
('npm:internal-slot', '1.0.3')
('rust:ryu', '1.0.17')
('npm:babel-plugin-extract-import-names', '1.6.22')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:@istanbuljs/schema', '0.1.3')
('npm:@babel/plugin-transform-duplicate-keys', '7.24.7')
('npm:@babel/plugin-transform-function-name', '7.18.9')
('npm:@babel/helper-hoist-variables', '7.24.7')
('npm:recast', '0.11.23')
('npm:emittery', '0.7.2')
('npm:pkg-dir', '1.0.0')
('npm:hogan.js', '3.0.2')
('npm:tr46', '2.1.0')
('npm:matrix-js-sdk', '25.1.1')
('npm:jss-plugin-global', '10.9.0')
('npm:c8', '^ 8.0.1')
('npm:check-more-types', '2.24.0')
('npm:hast-util-parse-selector', '2.2.5')
('npm:babel-jest', '27.5.1')
('npm:node-gyp', '10.0.1')
('npm:buffer-write', '0.0.2')
('npm:path-to-regexp', '1.8.0')
('npm:hsts', '2.2.0')
('npm:parseley', '0.7.0')
('npm:cheerio', '1.0.0-rc.10')
('rust:ipnet', '2.9.0')
('npm:escape-string-regexp', '2.0.0')
('go:golang.org/x/tools', '0.21.1-0.20240508182429-e35e4ccd0d2d')
('npm:consolidate', '0.16.0')
('npm:which', '3.0.1')
('npm:remark-emoji', '2.2.0')
('npm:google-auth-library', '9.9.0')
('npm:@cypress/xvfb', '1.2.4')
('npm:bonjour', '3.5.0')
('npm:@babel/preset-env', '7.20.2')
('npm:@babel/plugin-transform-regenerator', '7.24.7')
('rust:reqwest', '0.11.27')
('npm:@types/node', '14.18.21')
('npm:extend', '3.0.2')
('npm:debug', '^ 3.1.0')
('npm:@neutrinojs/airbnb', '9.0.0-rc.4')
('npm:@babel/plugin-transform-modules-commonjs', '7.19.6')
('npm:istanbul-lib-coverage', '3.0.0')
('go:github.com/spf13/pflag', '1.0.5')
('npm:@isaacs/cliui', '8.0.2')
('npm:postcss', '8.4.31')
('npm:domelementtype', '2.1.0')
('npm:@sentry/node', '6.19.7')
('rust:windows-sys', '0.48.0')
('npm:dns-txt', '2.0.2')
('npm:depd', '2.0.0')
('npm:wrap-ansi', '8.1.0')
('npm:estree-is-function', '1.0.0')
('npm:fast-azure-storage', '3.1.6')
('npm:p-limit', '3.1.0')
('npm:is-generator-function', '1.0.10')
('npm:nanoid', '3.3.3')
('npm:globals', '14.0.0')
('npm:data-urls', '2.0.0')
('npm:@babel/helper-function-name', '7.23.0')
('rust:instant', '0.1.12')
('npm:@babel/helper-module-transforms', '7.24.7')
('npm:evp_bytestokey', '1.0.3')
('npm:regenerate-unicode-properties', '10.0.1')
('npm:jsprim', '2.0.2')
('npm:string.prototype.trimstart', '1.0.4')
('npm:@smithy/property-provider', '3.1.3')
('npm:builtin-modules', '3.3.0')
('npm:ecdsa-sig-formatter', '1.0.11')
('npm:abort-controller', '3.0.0')
('npm:resolve-from', '5.0.0')
('npm:pbkdf2', '3.1.2')
('npm:async', '2.6.4')
('npm:ms', '2.0.0')
('npm:@babel/helper-simple-access', '7.24.7')
('npm:braces', '3.0.3')
('npm:for-in', '1.0.2')
('npm:@aws-sdk/region-config-resolver', '3.598.0')
('npm:apollo-link-context', '1.0.20')
('npm:get-stream', '6.0.1')
('npm:@babel/plugin-proposal-export-namespace-from', '7.18.9')
('npm:util.promisify', '1.0.0')
('npm:jest-haste-map', '26.6.2')
('npm:url-loader', '4.1.1')
('npm:@babel/plugin-transform-sticky-regex', '7.24.7')
('npm:react-router', '5.3.4')
('npm:universalify', '2.0.0')
('npm:nise', '5.1.9')
('npm:@smithy/util-waiter', '3.1.2')
('npm:dom-serialize', '2.2.1')
('npm:@types/babel__traverse', '7.14.2')
('go:github.com/mozilla-services/go-mozlogrus', '2.0.0+incompatible')
('pip:pygments', '2.18.0')
('npm:@babel/helper-skip-transparent-expression-wrappers', '7.24.7')
('npm:clsx', '1.1.1')
('npm:@types/source-list-map', '0.1.2')
('npm:@aws-sdk/client-sts', '3.606.0')
('npm:webpack-cli', '4.10.0')
('npm:request', '2.88.2')
('npm:emoji-regex', '7.0.3')
('go:github.com/docopt/docopt-go', '0.0.0-20180111231733-ee0de3bc6815')
('npm:@types/minimatch', '3.0.5')
('npm:normalize-path', '3.0.0')
('npm:istanbul-lib-source-maps', '4.0.1')
('npm:tunnel-agent', '0.6.0')
('npm:promise-retry', '2.0.1')
('npm:void-elements', '3.1.0')
('npm:mime-types', '2.1.35')
('npm:@hapi/hoek', '9.2.1')
('npm:@smithy/eventstream-serde-node', '3.0.4')
('npm:is-descriptor', '0.1.6')
('npm:@material-ui/types', '5.1.0')
('npm:is-interactive', '1.0.0')
('rust:bytes', '1.6.0')
('npm:memory-fs', '0.4.1')
('npm:thirty-two', '0.0.2')
('npm:@babel/plugin-transform-member-expression-literals', '7.18.6')
('npm:sprintf-js', '1.0.3')
('npm:got', '11.8.5')
('npm:accepts', '1.3.8')
('rust:winapi-x86_64-pc-windows-gnu', '0.4.0')
('npm:object-factory', '0.1.2')
('npm:@babel/plugin-proposal-private-methods', '7.18.6')
('npm:p-map', '2.1.0')
('npm:find-cache-dir', '0.1.1')
('npm:@testing-library/react', '12.1.5')
('npm:glob', '10.3.10')
('npm:@smithy/util-middleware', '3.0.3')
('npm:bn.js', '4.12.0')
('go:github.com/taskcluster/taskcluster-lib-urls', '13.0.1+incompatible')
('go:golang.org/x/text', '0.16.0')
('pip:aiofiles', '')
('rust:pin-project-lite', '0.2.14')
('npm:dom-serializer', '1.4.1')
('npm:@josephg/resolvable', '1.0.1')
('npm:walker', '1.0.8')
('npm:string.prototype.trimend', '1.0.4')
('npm:@tootallnate/once', '2.0.0')
('npm:@babel/plugin-transform-named-capturing-groups-regex', '7.19.1')
('pip:binaryornot', '0.4.4')
('npm:statsum', '^ 0.5.1')
('npm:nodemailer', '6.9.14')
('npm:snapdragon-node', '2.1.1')
('npm:ci-info', '3.9.0')
('npm:has-bigints', '1.0.1')
('npm:browserslist', '4.22.1')
('npm:html-encoding-sniffer', '2.0.1')
('npm:buffer-read', '0.0.2')
('rust:url', '2.5.0')
('npm:tr46', '0.0.3')
('npm:is-generator-fn', '2.1.0')
('npm:js-stringify', '1.0.2')
('go:github.com/cenkalti/backoff/v3', '3.2.2')
('npm:html-to-text', '9.0.5')
('npm:@fontsource/roboto', '4.5.8')
('npm:cipher-base', '1.0.4')
('npm:@babel/plugin-syntax-import-attributes', '7.24.7')
('npm:@types/yauzl', '2.10.0')
('npm:cssesc', '3.0.0')
('npm:@octokit/rest', '^ 16.0.5')
('rust:rand_chacha', '0.3.1')
('npm:http-proxy-middleware', '0.19.1')
('npm:@neutrinojs/eslint', '9.0.0-rc.4')
('npm:normalize-path', '2.1.1')
('npm:array-flatten', '1.1.1')
('npm:async', '3.2.4')
('npm:domelementtype', '2.3.0')
('npm:oauth-sign', '0.9.0')
('npm:serialize-javascript', '6.0.0')
('npm:mensch', '0.3.4')
('npm:eslint-visitor-keys', '3.4.3')
('npm:apollo-link-schema', '1.2.5')
('npm:object-assign', '3.0.0')
('npm:run-queue', '1.0.3')
('npm:http-cache-semantics', '4.1.1')
('npm:@babel/plugin-syntax-import-meta', '7.10.4')
('npm:@types/json-schema', '7.0.9')
('npm:hmac-drbg', '1.0.1')
('npm:homedir-polyfill', '1.0.3')
('npm:babel-preset-current-node-syntax', '1.0.1')
('npm:debug', '2.6.9')
('npm:matrix-widget-api', '1.6.0')
('npm:lodash.get', '4.4.2')
('npm:yarn-minify', '1.0.1')
('npm:immutable', '3.8.2')
('npm:github-slugger', '1.4.0')
('npm:p-finally', '1.0.0')
('npm:sentry-api', '^ 0.1.1')
('npm:browser-stdout', '1.3.1')
('npm:@smithy/node-http-handler', '3.1.1')
('npm:@babel/plugin-syntax-dynamic-import', '7.8.3')
('npm:ignore', '5.2.0')
('npm:@aws-sdk/middleware-sdk-ec2', '3.598.0')
('npm:@babel/plugin-syntax-class-properties', '7.12.13')
('npm:@smithy/middleware-stack', '3.0.3')
('npm:make-dir', '3.1.0')
('npm:get-stdin', '6.0.0')
('npm:dset', '3.1.3')
('npm:cli-spinners', '1.3.1')
('npm:@smithy/service-error-classification', '3.0.3')
('npm:import-local', '2.0.0')
('npm:@smithy/querystring-builder', '3.0.3')
('npm:@jridgewell/sourcemap-codec', '1.4.15')
('go:github.com/xi2/xz', '0.0.0-20171230120015-48954b6210f8')
('npm:zwitch', '1.0.5')
('npm:underscore', '1.13.2')
('rust:object', '0.32.2')
('npm:eslint-plugin-prettier', '3.4.1')
('npm:shebang-command', '2.0.0')
('npm:cacheable-lookup', '7.0.0')
('npm:@babel/plugin-transform-block-scoped-functions', '7.18.6')
('npm:loader-fs-cache', '1.0.3')
('npm:@jridgewell/trace-mapping', '0.3.4')
('npm:ecc-jsbn', '0.1.2')
('npm:display-notification', '2.0.0')
('npm:@types/stack-utils', '2.0.1')
('npm:mdast-squeeze-paragraphs', '3.0.5')
('npm:any-promise', '1.3.0')
('npm:@humanwhocodes/object-schema', '2.0.2')
('npm:taskcluster-client', '44.21.0')
('npm:hpack.js', '2.1.6')
('npm:vfile-location', '2.0.6')
('npm:bignumber.js', '9.1.2')
('npm:deep-equal', '1.0.1')
('npm:globby', '6.1.0')
('npm:chokidar', '2.1.8')
('go:github.com/golang-jwt/jwt/v4', '4.5.0')
('rust:anyhow', '1.0.81')
('npm:signal-exit', '4.1.0')
('npm:@grpc/proto-loader', '0.5.6')
('npm:webpack-merge', '5.8.0')
('npm:aggregate-error', '3.1.0')
('npm:http-proxy', '1.18.1')
('npm:human-signals', '2.1.0')
('npm:is-arrayish', '0.2.1')
('npm:apollo-link-http', '1.5.17')
('npm:array-union', '1.0.2')
('npm:type', '1.2.0')
('npm:fill-range', '7.1.1')
('npm:query-string', '4.3.4')
('npm:foreachasync', '3.0.0')
('npm:@types/connect', '3.4.37')
('npm:neutrino', '9.5.0')
('npm:babel-plugin-polyfill-regenerator', '0.6.2')
('rust:itoa', '1.0.11')
('npm:@babel/runtime', '7.18.6')
('npm:string-width', '4.2.3')
('npm:update-browserslist-db', '1.0.16')
('npm:cookie-signature', '1.0.6')
('npm:p-locate', '3.0.0')
('npm:pkg-dir', '3.0.0')
('npm:picocolors', '1.0.0')
('npm:graceful-fs', '4.2.9')
('npm:jest-transform-graphql', '2.1.0')
('npm:@jridgewell/trace-mapping', '0.3.14')
('npm:@babel/plugin-transform-parameters', '7.20.1')
('npm:azure-blob-storage', '^ 3.0.0')
('npm:resolve', '2.0.0-next.3')
('npm:fd-slicer', '1.1.0')
('npm:json-loader', '0.5.7')
('npm:loglevel', '1.9.1')
('npm:url-parse', '1.5.10')
('npm:@babel/plugin-transform-react-pure-annotations', '7.18.6')
('npm:moo', '0.5.2')
('npm:exec-sh', '0.3.6')
('npm:pumpify', '1.5.1')
('npm:deepmerge', '1.5.2')
('npm:@smithy/middleware-content-length', '3.0.3')
('npm:@babel/plugin-transform-classes', '7.20.2')
('pip:slugid', '>= 2')
('npm:@babel/helper-annotate-as-pure', '7.18.6')
('rust:anyhow', '>= 1.0.0,< 2.0.0')
('npm:setprototypeof', '1.2.0')
('npm:bs58', '5.0.0')
('npm:envinfo', '7.8.1')
('npm:buffer-more-ints', '1.0.0')
('npm:@babel/plugin-transform-json-strings', '7.24.7')
('npm:regenerate-unicode-properties', '9.0.0')
('npm:@babel/code-frame', '7.12.11')
('npm:markdown-table', '3.0.3')
('npm:karma-mocha-reporter', '2.2.5')
('npm:stream-shift', '1.0.1')
('npm:request-promise-core', '1.1.4')
('npm:graphql-type-json', '0.3.2')
('npm:aws-sign2', '0.7.0')
('npm:type-fest', '0.4.1')
('rust:gimli', '0.28.1')
('rust:fnv', '1.0.7')
('npm:@babel/plugin-transform-typeof-symbol', '7.24.7')
('rust:hmac-sha256', '>= 1.1.3,< 2.0.0')
('npm:commander', '9.5.0')
('npm:infer-owner', '1.0.4')
('npm:get-package-type', '0.1.0')
('npm:acorn-walk', '7.2.0')
('npm:@octokit/auth-oauth-app', '5.0.6')
('rust:http', '0.2.12')
('npm:@apollo/utils.createhash', '2.0.1')
('npm:babel-core', '7.0.0-bridge.0')
('npm:execa', '5.1.1')
('npm:pg-pool', '3.6.2')
('npm:cli-truncate', '2.1.0')
('npm:execa', '1.0.0')
('npm:jws', '3.2.2')
('npm:babel-plugin-polyfill-regenerator', '0.4.1')
('rust:ppv-lite86', '0.2.17')
('npm:type-check', '0.4.0')
('npm:find-up', '3.0.0')
('npm:@aws-sdk/client-sso-oidc', '3.606.0')
('npm:is-arguments', '1.1.1')
('npm:component-emitter', '1.3.0')
('pip:voluptuous', '0.15.2')
('rust:unicode-bidi', '0.3.15')
('npm:decompress-response', '6.0.0')
('npm:pinkie', '1.0.0')
('npm:string_decoder', '1.1.1')
('npm:iptables', '0.0.4')
('npm:pug-walk', '2.0.0')
('npm:has-value', '0.3.1')
('npm:lru-cache', '5.1.1')
('npm:@types/node', '18.11.9')
('npm:is-number', '3.0.0')
('npm:@babel/plugin-transform-logical-assignment-operators', '7.24.7')
('npm:@sinonjs/fake-timers', '9.1.2')
('npm:taskcluster-lib-app', '10.0.0')
('rust:base64', '0.13.1')
('npm:@babel/plugin-syntax-object-rest-spread', '7.8.3')
('npm:cachedir', '2.3.0')
('npm:is-core-module', '2.8.1')
('npm:indent-string', '4.0.0')
('npm:regenerator-runtime', '0.13.9')
('npm:cli-cursor', '3.1.0')
('npm:node-forge', '0.10.0')
('npm:unist-util-visit', '2.0.3')
('npm:ansi-styles', '3.2.1')
('npm:@wry/equality', '0.1.11')
('npm:domhandler', '5.0.3')
('npm:mdx-loader', '3.0.2')
('npm:btoa-lite', '1.0.0')
('npm:@aws-sdk/util-user-agent-node', '3.598.0')
('npm:define-properties', '1.1.3')
('npm:resolve', '1.22.0')
('npm:eslint-plugin-react-hooks', '2.5.1')
('npm:abbrev', '2.0.0')
('pip:pytest-mock', '')
('npm:escodegen', '2.0.0')
('npm:date-fns', '2.30.0')
('npm:@babel/plugin-transform-object-super', '7.24.7')
('rust:wasm-bindgen-backend', '0.2.92')
('npm:duplexer2', '0.1.4')
('npm:mkdirp', '0.5.5')
('npm:acorn-globals', '6.0.0')
('npm:cookie', '0.4.2')
('npm:pug-strip-comments', '2.0.0')
('npm:jest-each', '26.6.2')
('npm:flat-cache', '3.1.1')
('npm:tslib', '2.1.0')
('npm:raw-body', '2.5.1')
('npm:@babel/plugin-syntax-jsx', '7.24.7')
('npm:define-properties', '1.2.1')
('npm:webpack-log', '2.0.0')
('npm:express-session', '1.18.0')
('npm:whatwg-encoding', '1.0.5')
('npm:set-value', '2.0.1')
('npm:@adobe/css-tools', '4.4.0')
('npm:@babel/traverse', '7.23.2')
('npm:detect-indent', '6.1.0')
('npm:get-intrinsic', '1.1.1')
('npm:@types/json-buffer', '3.0.0')
('npm:ansi-html-community', '0.0.8')
('npm:esrecurse', '4.3.0')
('npm:jwa', '2.0.0')
('npm:@babel/core', '7.13.14')
('go:github.com/kr/text', '0.2.0')
('npm:eslint-scope', '7.2.2')
