('npm:@jest/transform', '26.6.2')
('npm:yargs', '15.4.1')
('npm:domexception', '2.0.1')
('npm:r-script', '0.0.4')
('npm:yargs-parser', '20.2.9')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:@istanbuljs/schema', '0.1.3')
('npm:@babel/preset-typescript', '7.18.6')
('npm:@types/babel__traverse', '7.18.1')
('npm:emittery', '0.7.2')
('npm:update-notifier', '4.1.3')
('npm:tr46', '2.1.0')
('npm:@types/express-session', '1.17.7')
('npm:walker', '1.0.7')
('npm:configstore', '5.0.1')
('npm:escape-string-regexp', '2.0.0')
('npm:postcss-discard-empty', '5.1.1')
('npm:extend', '3.0.2')
('npm:istanbul-lib-coverage', '3.0.0')
('npm:depd', '2.0.0')
('npm:@babel/highlight', '7.13.10')
('npm:string-width', '4.2.2')
('npm:p-limit', '3.1.0')
('npm:@types/jest', '29.5.3')
('npm:data-urls', '2.0.0')
('npm:evp_bytestokey', '1.0.3')
('npm:@jest/source-map', '29.6.0')
('npm:ecdsa-sig-formatter', '1.0.11')
('npm:resolve-from', '5.0.0')
('npm:semver', '6.3.0')
('npm:pbkdf2', '3.1.2')
('npm:d3-geo', '3.1.0')
('npm:ms', '2.0.0')
('npm:async', '2.6.4')
('npm:diff-sequences', '29.4.3')
('npm:for-in', '1.0.2')
('npm:http-proxy-middleware', '2.0.6')
('npm:get-stream', '6.0.1')
('npm:resolve', '1.22.4')
('npm:jest-haste-map', '26.6.2')
('npm:universalify', '2.0.0')
('npm:nodemon', '3.0.1')
('npm:request', '2.88.2')
('npm:emoji-regex', '7.0.3')
('npm:normalize-range', '0.1.2')
('npm:normalize-path', '3.0.0')
('npm:istanbul-lib-source-maps', '4.0.1')
('npm:tunnel-agent', '0.6.0')
('npm:promise-retry', '2.0.1')
('npm:semver', '7.3.5')
('npm:mime-types', '2.1.35')
('npm:joi', '17.4.0')
('npm:vue-router', '3.5.3')
('npm:void-elements', '3.1.0')
('npm:is-descriptor', '0.1.6')
('npm:collect-v8-coverage', '1.0.2')
('npm:is-interactive', '1.0.0')
('npm:memory-fs', '0.4.1')
('npm:ansi-align', '3.0.0')
('npm:sprintf-js', '1.0.3')
('npm:stack-utils', '2.0.3')
('npm:strip-ansi', '6.0.0')
('npm:accepts', '1.3.8')
('npm:csv-parse', '4.15.4')
('npm:@types/prettier', '2.7.0')
('npm:bn.js', '4.12.0')
('npm:stable', '0.1.8')
('npm:d3-zoom', '3.0.0')
('npm:dom-serializer', '1.4.1')
('npm:walker', '1.0.8')
('npm:lodash.mapvalues', '4.6.0')
('npm:@tootallnate/once', '2.0.0')
('npm:postcss-modules-local-by-default', '4.0.3')
('npm:@babel/preset-typescript', '7.22.5')
('npm:snapdragon-node', '2.1.1')
('npm:v8-to-istanbul', '9.1.0')
('npm:html-encoding-sniffer', '2.0.1')
('npm:is-generator-fn', '2.1.0')
('npm:tr46', '0.0.3')
('npm:js-stringify', '1.0.2')
('npm:@sinclair/typebox', '0.24.41')
('npm:@nodelib/fs.stat', '2.0.4')
('npm:cipher-base', '1.0.4')
('npm:@types/yauzl', '2.10.0')
('npm:cssesc', '3.0.0')
('npm:source-map-support', '0.5.19')
('npm:object-inspect', '1.12.3')
('npm:normalize-path', '2.1.1')
('npm:array-flatten', '1.1.1')
('npm:dedent', '1.5.1')
('npm:@webassemblyjs/helper-api-error', '1.11.6')
('npm:domelementtype', '2.3.0')
('npm:oauth-sign', '0.9.0')
('npm:@jest/console', '29.6.2')
('npm:@babel/plugin-syntax-import-meta', '7.10.4')
('npm:loader-utils', '2.0.4')
('npm:http-cache-semantics', '4.1.1')
('npm:run-queue', '1.0.3')
('npm:hmac-drbg', '1.0.1')
('npm:async-each', '1.0.6')
('npm:@types/json-schema', '7.0.9')
('npm:@fortawesome/vue-fontawesome', '2.0.6')
('npm:babel-preset-current-node-syntax', '1.0.1')
('npm:debug', '2.6.9')
('npm:d3-axis', '3.0.0')
('npm:bootstrap-validator', '0.11.9')
('npm:lru-cache', '7.14.0')
