('rubygems:aws-sdk-dynamodb', '1.75.0')
('npm:redux', '3.7.2')
('rubygems:roar-rails', '1.0.2')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('rubygems:statsd-ruby', '1.4.0')
('npm:@istanbuljs/schema', '0.1.3')
('npm:@babel/plugin-transform-function-name', '7.18.9')
('npm:lodash.bind', '2.4.1')
('npm:recast', '0.11.23')
('npm:@swagger-api/apidom-parser-adapter-openapi-yaml-3-0', '0.69.3')
('npm:which-typed-array', '1.1.9')
('rubygems:terrapin', '0.6.0')
('npm:css-has-pseudo', '0.10.0')
('rubygems:bootsnap', '1.16.0')
('npm:hast-util-parse-selector', '2.2.5')
('rubygems:cucumber-create-meta', '6.0.4')
('npm:escape-string-regexp', '2.0.0')
('rubygems:method_source', '1.0.0')
('npm:postcss-color-rebeccapurple', '4.0.1')
('npm:@types/d3-drag', '1.2.5')
('rubygems:activestorage', '6.1.7.8')
('npm:bonjour', '3.5.0')
('npm:@jest/expect-utils', '29.5.0')
('npm:amdefine', '1.0.1')
('npm:extend', '3.0.2')
('npm:@babel/runtime-corejs3', '7.21.5')
('rubygems:rspec-mocks', '3.13.0')
('rubygems:reform', '2.3.3')
('npm:xml-name-validator', '4.0.0')
('npm:cssom', '0.5.0')
('rubygems:childprocess', '0.9.0')
('rubygems:sidekiq-cron', '1.0.4')
('npm:dns-txt', '2.0.2')
('actions:docker/setup-qemu-action', '3.*.*')
('npm:depd', '2.0.0')
('npm:ua-parser-js', '0.7.35')
('rubygems:html-pipeline', '2.12.3')
('npm:@swagger-api/apidom-ast', '0.69.3')
('npm:p-limit', '3.1.0')
('rubygems:redis-client', '0.21.1')
('npm:@wojtekmaj/enzyme-adapter-react-17', '0.8.0')
('rubygems:unicode-display_width', '1.4.0')
('npm:@babel/helper-function-name', '7.23.0')
('rubygems:activerecord', '6.1.7.8')
('npm:evp_bytestokey', '1.0.3')
('npm:postcss-normalize-display-values', '4.0.2')
('npm:enzyme-shallow-equal', '1.0.5')
('rubygems:with_env', '1.1.0')
('npm:resolve-from', '5.0.0')
('npm:pbkdf2', '3.1.2')
('npm:async', '2.6.4')
('rubygems:uniform_notifier', '1.14.2')
('rubygems:http-form_data', '1.0.3')
('npm:ms', '2.0.0')
('npm:diff-sequences', '29.4.3')
('npm:for-in', '1.0.2')
('npm:get-stream', '6.0.1')
('npm:string.prototype.trim', '1.2.7')
('npm:@babel/plugin-proposal-export-namespace-from', '7.18.9')
('npm:ramda-adjunct', '4.0.0')
('rubygems:simplecov-html', '0.10.2')
('rubygems:codemirror-rails', '5.16.0')
('npm:sass-loader', '7.3.1')
('rubygems:braintree', '2.104.1')
('rubygems:diffy', '3.4.2')
('npm:emoji-regex', '7.0.3')
('npm:normalize-range', '0.1.2')
('npm:postcss-replace-overflow-wrap', '3.0.0')
('npm:normalize-path', '3.0.0')
('npm:istanbul-lib-source-maps', '4.0.1')
('npm:tunnel-agent', '0.6.0')
('npm:mime-types', '2.1.35')
('npm:jest-runner', '29.5.0')
('npm:@babel/plugin-transform-react-jsx', '7.21.5')
('npm:eslint-import-resolver-node', '0.3.7')
('npm:is-descriptor', '0.1.6')
('npm:traverse', '0.6.7')
('npm:available-typed-arrays', '1.0.5')
('npm:memory-fs', '0.4.1')
('npm:postcss-unique-selectors', '4.0.1')
('rubygems:liquid', '3.0.6')
('npm:@babel/plugin-transform-member-expression-literals', '7.18.6')
('npm:sprintf-js', '1.0.3')
('rubygems:htmlentities', '4.3.4')
('npm:accepts', '1.3.8')
('npm:@babel/plugin-proposal-private-methods', '7.18.6')
('npm:nth-check', '1.0.2')
('rubygems:aws-sdk-core', '2.11.159')
('npm:w3c-xmlserializer', '4.0.0')
('npm:p-map', '2.1.0')
('npm:@patternfly/react-icons', '4.93.6')
('npm:bn.js', '4.12.0')
('npm:stable', '0.1.8')
('npm:@patternfly/patternfly', '4.224.2')
('npm:walker', '1.0.8')
('rubygems:rainbow', '3.1.1')
('npm:@tootallnate/once', '2.0.0')
('npm:is-fullwidth-code-point', '1.0.0')
('npm:@braintree/class-list', '0.2.0')
('npm:@babel/runtime-corejs2', '7.21.5')
('npm:formdata-node', '4.4.1')
('npm:snapdragon-node', '2.1.1')
('npm:rgba-regex', '1.0.0')
('npm:v8-to-istanbul', '9.1.0')
('rubygems:kt-paperclip', '7.2.1')
('npm:unicode-property-aliases-ecmascript', '2.1.0')
('npm:@types/d3-format', '1.4.2')
('npm:is-generator-fn', '2.1.0')
('npm:tr46', '0.0.3')
('npm:format', '0.2.2')
('rubygems:byebug', '11.0.1')
('npm:cipher-base', '1.0.4')
('npm:cssesc', '3.0.0')
('npm:http-proxy-middleware', '0.19.1')
('npm:object-inspect', '1.12.3')
('npm:normalize-path', '2.1.1')
('npm:array-flatten', '1.1.1')
('rubygems:sys-uname', '1.2.3')
('npm:domelementtype', '2.3.0')
('rubygems:rouge', '3.28.0')
('npm:@babel/plugin-syntax-import-meta', '7.10.4')
('npm:loader-utils', '2.0.4')
('npm:run-queue', '1.0.3')
('npm:async-each', '1.0.6')
