('npm:@jest/transform', '26.6.2')
('npm:yargs', '15.4.1')
('npm:react-i18next', '11.18.6')
('npm:babel-loader', '9.1.3')
('npm:domexception', '2.0.1')
('npm:yargs-parser', '20.2.9')
('composer:babdev/pagerfanta-bundle', '3.7.0')
('composer:symfony/polyfill-iconv', '1.26.0')
('npm:@reduxjs/toolkit', '^ 1.5.0')
('npm:@babel/plugin-transform-export-namespace-from', '7.23.3')
('npm:babel-plugin-react-docgen', '4.2.1')
('npm:wrappy', '1.0.2')
('npm:@istanbuljs/schema', '0.1.3')
('npm:@babel/types', '7.23.3')
('npm:emittery', '0.7.2')
('npm:detect-port', '1.5.1')
('npm:tr46', '2.1.0')
('npm:@esbuild/win32-x64', '0.18.20')
('npm:check-more-types', '2.24.0')
('npm:path-to-regexp', '1.8.0')
('npm:@ant-design/react-slick', '1.0.2')
('npm:libphonenumber-js', '1.10.49')
('npm:use-memo-one', '1.1.3')
('npm:escape-string-regexp', '2.0.0')
('npm:@babel/plugin-transform-arrow-functions', '7.23.3')
('npm:@cypress/xvfb', '1.2.4')
('npm:tocbot', '4.25.0')
('npm:postcss-discard-empty', '5.1.1')
('npm:@types/ws', '8.5.3')
('composer:league/oauth2-server', '8.5.3')
('npm:extend', '3.0.2')
('npm:fetch-retry', '5.0.6')
('npm:@isaacs/cliui', '8.0.2')
('npm:@webassemblyjs/ieee754', '1.11.1')
('composer:phpstan/phpstan-doctrine', '1.4.5')
('npm:style-loader', '2.0.0')
('npm:depd', '2.0.0')
('npm:ws', '8.8.0')
('npm:wrap-ansi', '8.1.0')
('composer:phpseclib/phpseclib', '3.0.21')
('npm:eslint-webpack-plugin', '2.7.0')
('npm:p-limit', '3.1.0')
('npm:@babel/plugin-syntax-typescript', '7.23.3')
('npm:is-generator-function', '1.0.10')
('npm:@babel/plugin-transform-async-to-generator', '7.23.3')
('npm:qs', '6.10.4')
('npm:data-urls', '2.0.0')
('npm:@babel/helper-function-name', '7.23.0')
('npm:detect-package-manager', '2.0.1')
('npm:jsprim', '2.0.2')
('composer:sylius/attribute', '1.11.9')
('npm:sql-formatter', '3.1.0')
('npm:@storybook/docs-mdx', '0.1.0')
('npm:resolve-from', '5.0.0')
('npm:tinycolor2', '1.4.2')
('npm:ms', '2.0.0')
('npm:for-in', '1.0.2')
('npm:http-proxy-middleware', '2.0.6')
('npm:get-stream', '6.0.1')
('npm:@storybook/client-logger', '7.5.3')
('npm:string.prototype.trim', '1.2.7')
('composer:sebastian/cli-parser', '1.0.1')
('npm:jest-worker', '29.7.0')
('composer:php-http/promise', '1.3.1')
('npm:jest-haste-map', '26.6.2')
('npm:url-loader', '4.1.1')
('npm:react-router', '5.3.4')
('npm:universalify', '2.0.0')
('composer:http-interop/http-factory-guzzle', '1.2.0')
('npm:date-holidays-parser', '3.4.4')
('composer:sebastian/complexity', '2.0.2')
('npm:find-cache-dir', '4.0.0')
('npm:@react-hook/passive-layout-effect', '1.2.1')
('composer:phpunit/php-timer', '5.0.3')
('npm:@types/source-list-map', '0.1.2')
('composer:sentry/sdk', '3.5.0')
('npm:@typescript-eslint/visitor-keys', '5.62.0')
('composer:symfony/stimulus-bundle', '2.10.0')
('npm:loader-utils', '1.4.0')
('npm:webpack-cli', '4.10.0')
('npm:@radix-ui/react-use-controllable-state', '1.0.1')
('npm:cosmiconfig', '7.0.1')
('npm:normalize-range', '0.1.2')
('npm:@types/minimatch', '3.0.5')
('npm:micromark-core-commonmark', '1.0.6')
('npm:normalize-path', '3.0.0')
('npm:istanbul-lib-source-maps', '4.0.1')
('npm:tunnel-agent', '0.6.0')
('actions:actions/upload-artifact', '4.*.*')
('npm:typed-array-byte-length', '1.0.0')
('npm:void-elements', '3.1.0')
('npm:mime-types', '2.1.35')
('actions:actions/checkout', '2.*.*')
('npm:is-descriptor', '0.1.6')
('npm:is-interactive', '1.0.0')
('npm:available-typed-arrays', '1.0.5')
('npm:sprintf-js', '1.0.3')
('composer:friendsofsymfony/jsrouting-bundle', '2.8.0')
('npm:accepts', '1.3.8')
('npm:@storybook/postinstall', '7.5.3')
('npm:postcss-convert-values', '5.1.2')
('npm:p-map', '2.1.0')
('npm:glob', '10.3.10')
('npm:stable', '0.1.8')
('npm:bplist-parser', '0.2.0')
('composer:sylius/calendar', '0.3.0')
('npm:@webk1d/leaflet-curve', '1.0.0')
('npm:p-locate', '6.0.0')
('npm:dom-serializer', '1.4.1')
('npm:walker', '1.0.8')
('npm:linkify-it', '3.0.3')
('composer:php-http/client-common', '2.7.1')
('npm:@babel/plugin-transform-regenerator', '7.23.3')
('npm:caldate', '2.0.5')
('npm:snapdragon-node', '2.1.1')
('npm:ci-info', '3.9.0')
('npm:@types/fs-extra', '11.0.4')
('npm:dropzone', '5.9.3')
('npm:html-encoding-sniffer', '2.0.1')
('npm:browserslist', '4.22.1')
('npm:reselect', '^ 4.0.0')
('npm:unicode-property-aliases-ecmascript', '2.1.0')
('npm:is-generator-fn', '2.1.0')
('npm:tr46', '0.0.3')
('composer:symfony/contracts', '2.5.3')
('npm:@turf/line-segment', '6.5.0')
('npm:micromark-util-sanitize-uri', '1.0.0')
('npm:micromark-util-decode-string', '1.0.2')
('npm:@storybook/node-logger', '7.6.10')
('npm:cssesc', '3.0.0')
('npm:@turf/nearest-point-on-line', '6.5.0')
('composer:google/apiclient-services', '0.311.1')
('npm:object-inspect', '1.12.3')
('npm:@swc/core-linux-arm64-gnu', '1.3.96')
('npm:normalize-path', '2.1.1')
('npm:array-flatten', '1.1.1')
('npm:async', '3.2.4')
('npm:to-no-case', '1.0.2')
('actions:shivammathur/setup-php', '2.*.*')
('npm:@turf/line-split', '6.5.0')
('npm:domelementtype', '2.3.0')
('composer:twig/markdown-extra', '3.7.1')
('npm:serialize-javascript', '6.0.0')
('npm:eslint-visitor-keys', '3.4.3')
('npm:array-includes', '3.1.7')
('npm:redux-actions', '^ 2.6.5')
('npm:@babel/plugin-syntax-import-meta', '7.10.4')
('npm:loader-utils', '2.0.4')
('npm:array-tree-filter', '2.1.0')
('npm:object-assign', '3.0.0')
('npm:babel-preset-current-node-syntax', '1.0.1')
('npm:debug', '2.6.9')
('npm:@esbuild/linux-ia32', '0.18.20')
('composer:sentry/sentry-symfony', '4.10.0')
('npm:find-root', '1.1.0')
('composer:symfony/phpunit-bridge', '5.4.14')
('npm:@emotion/react', '11.9.3')
('npm:p-finally', '1.0.0')
('npm:@babel/plugin-syntax-dynamic-import', '7.8.3')
('npm:html-tags', '3.3.1')
('npm:ignore', '5.2.0')
('npm:ext', '1.6.0')
('composer:geocoder-php/chain-provider', '4.5.0')
('npm:ast-types', '0.14.2')
('npm:@babel/plugin-syntax-class-properties', '7.12.13')
('npm:copy-anything', '2.0.6')
('npm:make-dir', '3.1.0')
('npm:tempy', '1.0.1')
('npm:jwt-decode', '3.1.2')
('npm:inquirer', '3.0.6')
('npm:@jridgewell/sourcemap-codec', '1.4.15')
('npm:@types/express', '4.17.13')
('composer:sonata-project/doctrine-extensions', '1.18.1')
('composer:behat/transliterator', '1.5.0')
('npm:@webassemblyjs/wasm-parser', '1.11.1')
('npm:postcss-normalize-whitespace', '5.1.1')
('npm:shebang-command', '2.0.0')
('npm:ecc-jsbn', '0.1.2')
('npm:@types/stack-utils', '2.0.1')
('npm:leaflet-geometryutil', '0.10.3')
('npm:hpack.js', '2.1.6')
('npm:postcss-ordered-values', '5.1.2')
('npm:bignumber.js', '9.1.2')
('composer:sentry/sentry', '3.21.0')
('npm:globby', '6.1.0')
('composer:beberlei/doctrineextensions', '1.5.0')
('npm:signal-exit', '4.1.0')
('composer:notfloran/mjml-bundle', '3.7.1')
('npm:webpack-merge', '5.8.0')
('composer:jsor/doctrine-postgis', '2.3.0')
('npm:aggregate-error', '3.1.0')
('npm:http-proxy', '1.18.1')
('npm:human-signals', '2.1.0')
('npm:is-arrayish', '0.2.1')
('npm:serialize-javascript', '5.0.1')
('npm:@reduxjs/toolkit', '1.8.6')
('npm:array-union', '1.0.2')
('npm:type', '1.2.0')
('npm:moment-range', '4.0.2')
('npm:react-colorful', '5.6.1')
('npm:string-width', '4.2.3')
('composer:shahonseven/php-color-hash', '')
('composer:sylius/product', '1.11.9')
('npm:cookie-signature', '1.0.6')
('npm:p-locate', '3.0.0')
('npm:acorn', '8.10.0')
('npm:picocolors', '1.0.0')
('npm:pkg-dir', '3.0.0')
('composer:behat/behat', '3.14.0')
('npm:react-phone-number-input', '3.3.7')
('npm:@radix-ui/react-popper', '1.1.2')
