('npm:@types/retry', '0.12.0')
('npm:pinkie', '2.0.4')
('npm:selfsigned', '2.1.1')
('npm:tmp', '0.2.1')
('npm:mute-stream', '0.0.8')
('npm:yargs', '15.4.1')
('npm:css-loader', '6.7.3')
('npm:yargs-parser', '20.2.9')
('npm:run-async', '2.4.1')
('npm:@esbuild/linux-riscv64', '0.16.17')
('npm:is-lambda', '1.0.1')
('npm:wrappy', '1.0.2')
('npm:@istanbuljs/schema', '0.1.3')
('npm:typed-assert', '1.0.9')
('npm:ini', '3.0.1')
('npm:@jridgewell/gen-mapping', '0.3.2')
('npm:@babel/plugin-transform-function-name', '7.18.9')
('npm:update-browserslist-db', '1.0.10')
('npm:uri-js', '4.4.1')
('npm:string_decoder', '1.3.0')
('npm:@babel/plugin-proposal-optional-catch-binding', '7.18.6')
('npm:@angular/router', '15.1.5')
('npm:randombytes', '2.1.0')
('npm:@babel/helper-define-polyfill-provider', '0.3.3')
('npm:bytes', '3.1.2')
('npm:@webassemblyjs/wasm-gen', '1.11.1')
('npm:nopt', '6.0.0')
('npm:bytes', '3.0.0')
('npm:babel-loader', '9.1.2')
('npm:adm-zip', '0.5.10')
('npm:postcss-modules-values', '4.0.0')
('npm:@types/selenium-webdriver', '3.0.20')
('npm:pretty-bytes', '5.6.0')
('npm:escape-html', '1.0.3')
('npm:through', '2.3.8')
('npm:@angular-devkit/core', '15.1.6')
('npm:@babel/helper-member-expression-to-functions', '7.20.7')
('npm:json-schema-traverse', '0.4.1')
('npm:@types/http-proxy', '1.17.9')
('npm:pinkie-promise', '2.0.1')
('npm:minipass-pipeline', '1.2.4')
('npm:@babel/helper-explode-assignable-expression', '7.18.6')
('npm:parse5-sax-parser', '6.0.1')
('npm:babel-plugin-istanbul', '6.1.1')
('npm:encodeurl', '1.0.2')
('npm:agent-base', '4.3.0')
('npm:@babel/preset-env', '7.20.2')
('npm:json-parse-even-better-errors', '2.3.1')
('npm:cli-width', '3.0.0')
('npm:@esbuild/android-arm64', '0.16.17')
('npm:extend', '3.0.2')
('npm:rimraf', '3.0.2')
('npm:hdr-histogram-js', '2.0.3')
('npm:@ngtools/webpack', '15.1.6')
('npm:@esbuild/linux-mips64el', '0.16.17')
('npm:make-dir', '2.1.0')
('npm:chrome-trace-event', '1.0.3')
('npm:@angular/compiler', '9.0.0')
('npm:jasmine-core', '3.99.1')
('npm:@webassemblyjs/ieee754', '1.11.1')
('npm:@babel/plugin-transform-computed-properties', '7.20.7')
('npm:tree-kill', '1.2.2')
('npm:open', '8.4.0')
('npm:depd', '2.0.0')
('npm:css-selector-tokenizer', '0.7.3')
('npm:thunky', '1.1.0')
('npm:select-hose', '2.0.0')
('npm:@babel/plugin-proposal-dynamic-import', '7.18.6')
('npm:@babel/plugin-syntax-export-namespace-from', '7.8.3')
('npm:har-schema', '2.0.0')
('npm:@nodelib/fs.stat', '2.0.5')
('npm:qjobs', '1.2.0')
('npm:type-fest', '0.21.3')
('npm:setprototypeof', '1.1.0')
('npm:semver-dsl', '1.0.1')
('npm:ng-event-source', '1.0.14')
('npm:parse-json', '5.2.0')
('npm:color-name', '1.1.4')
('npm:@babel/helper-simple-access', '7.20.2')
('npm:fastq', '1.15.0')
('npm:@discoveryjs/json-ext', '0.5.7')
('npm:babel-plugin-polyfill-corejs2', '0.3.3')
('npm:eventemitter-asyncresource', '1.0.0')
('npm:resolve-from', '5.0.0')
('npm:semver', '6.3.0')
('npm:https-proxy-agent', '2.2.4')
('npm:entities', '2.2.0')
('npm:@types/body-parser', '1.19.2')
('npm:which', '1.3.1')
('npm:minimatch', '3.1.2')
('npm:utils-merge', '1.0.1')
('npm:ms', '2.0.0')
('npm:yallist', '3.1.1')
('npm:cacache', '16.1.3')
('npm:engine.io-parser', '5.0.6')
('npm:clone', '1.0.4')
('npm:anymatch', '3.1.3')
('npm:http-proxy-middleware', '2.0.6')
('npm:domutils', '2.8.0')
('npm:get-stream', '6.0.1')
('npm:regenerator-transform', '0.15.1')
('npm:import-fresh', '3.3.0')
('npm:@angular/common', '15.1.5')
('npm:@babel/plugin-proposal-export-namespace-from', '7.18.9')
('npm:@babel/plugin-syntax-import-assertions', '7.20.0')
('npm:engine.io', '6.4.0')
('npm:normalize-package-data', '5.0.0')
('npm:neo-async', '2.6.2')
('npm:source-map-loader', '4.0.1')
('npm:@schematics/angular', '15.1.6')
('npm:dom-serialize', '2.2.1')
('npm:@babel/helper-hoist-variables', '7.18.6')
('npm:karma-jasmine-html-reporter', '1.7.0')
('npm:iconv-lite', '0.4.24')
('npm:loader-runner', '4.3.0')
('npm:node-gyp', '9.3.1')
('npm:browserslist', '4.21.4')
('npm:@babel/helper-compilation-targets', '7.20.7')
('npm:cors', '2.8.5')
('npm:parent-module', '1.0.1')
('npm:commander', '2.20.3')
('npm:range-parser', '1.2.1')
('npm:@types/cors', '2.8.13')
('npm:minimatch', '6.2.0')
('npm:jest-worker', '27.5.1')
('npm:agent-base', '6.0.2')
('npm:request', '2.88.2')
('npm:normalize-range', '0.1.2')
('npm:normalize-path', '3.0.0')
('npm:source-map-support', '0.4.18')
('npm:sass', '1.58.2')
('npm:tunnel-agent', '0.6.0')
('npm:path-parse', '1.0.7')
('npm:builtins', '5.0.1')
('npm:jsprim', '1.4.2')
('npm:promise-retry', '2.0.1')
('npm:arrify', '1.0.1')
('npm:mime-types', '2.1.35')
('npm:depd', '1.1.2')
('npm:fast-json-stable-stringify', '2.1.0')
('npm:less', '4.1.3')
('npm:symbol-observable', '4.0.0')
('npm:rxjs-compat', '6.6.7')
('npm:ssri', '10.0.1')
('npm:@babel/plugin-transform-named-capturing-groups-regex', '7.20.5')
('npm:regex-parser', '2.2.11')
('npm:is-interactive', '1.0.0')
('npm:serve-index', '1.9.1')
('npm:y18n', '5.0.8')
('npm:once', '1.4.0')
('npm:resolve', '1.22.1')
('npm:log-symbols', '4.1.0')
('npm:@jridgewell/sourcemap-codec', '1.4.14')
('npm:@babel/plugin-transform-member-expression-literals', '7.18.6')
('npm:@esbuild/linux-arm64', '0.16.17')
('npm:sprintf-js', '1.0.3')
('npm:@babel/helper-environment-visitor', '7.18.9')
('npm:@babel/helper-skip-transparent-expression-wrappers', '7.20.0')
('npm:accepts', '1.3.8')
('npm:@babel/plugin-transform-new-target', '7.18.6')
('npm:npm-normalize-package-bin', '3.0.0')
('npm:is-path-cwd', '1.0.0')
('npm:@babel/plugin-proposal-private-methods', '7.18.6')
('npm:immutable', '4.2.4')
('npm:chalk', '2.4.2')
('npm:@babel/plugin-syntax-optional-catch-binding', '7.8.3')
('npm:@gar/promisify', '1.1.3')
('npm:tough-cookie', '2.5.0')
('npm:browserslist', '4.21.5')
('npm:spdx-license-ids', '3.0.12')
('npm:cssauron', '1.4.0')
('npm:saucelabs', '1.5.0')
('npm:istanbul-lib-coverage', '2.0.5')
('npm:concat-map', '0.0.1')
('npm:ajv', '6.12.6')
('npm:dom-serializer', '1.4.1')
('npm:@tootallnate/once', '2.0.0')
('npm:@angular/animations', '15.1.5')
('npm:karma', '6.4.1')
('npm:postcss-loader', '7.0.2')
('npm:@npmcli/promise-spawn', '6.0.2')
('npm:@babel/plugin-proposal-class-properties', '7.18.6')
('npm:xml2js', '0.4.23')
('npm:debug', '4.3.4')
('npm:zone.js', '0.10.3')
('npm:prr', '1.0.1')
('npm:compressible', '2.0.18')
('npm:@babel/helper-create-regexp-features-plugin', '7.20.5')
('npm:unicode-property-aliases-ecmascript', '2.1.0')
('npm:minipass', '3.3.6')
('npm:istanbul-lib-report', '3.0.0')
